Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0,0,0
0.05,0,0,0
0.075,0,0.000977517106549365,0
0.1,0,0.00391006842619746,0
0.125,0.000488758553274682,0.00782013685239492,0.000977517106549365
0.15,0.000488758553274682,0.0117302052785924,0.000977517106549365
0.175,0.000488758553274682,0.0156402737047898,0.00244379276637341
0.2,0.000488758553274682,0.0185728250244379,0.00391006842619746
0.225,0.000488758553274682,0.0312805474095797,0.00439882697947214
0.25,0.000977517106549365,0.0713587487781036,0.00537634408602151
0.275,0.00293255131964809,0.133919843597263,0.00977517106549365
0.3,0.00293255131964809,0.197458455522972,0.0151515151515152
0.325,0.00391006842619746,0.232649071358749,0.0205278592375367
0.35,0.00586510263929619,0.282502443792766,0.030791788856305
0.375,0.0102639296187683,0.331378299120235,0.0557184750733138
0.4,0.0185728250244379,0.358748778103617,0.092375366568915
0.425,0.0371456500488759,0.374389051808407,0.154936461388074
0.45,0.0645161290322581,0.38514173998045,0.20039100684262
0.475,0.0948191593352884,0.397849462365591,0.243401759530792
0.5,0.143695014662757,0.410557184750733,0.289345063538612
0.525,0.196969696969697,0.41544477028348,0.337243401759531
0.55,0.259042033235582,0.420332355816227,0.374389051808407
0.575,0.310850439882698,0.434017595307918,0.408602150537634
0.6,0.376344086021505,0.455522971652004,0.439393939393939
0.625,0.440860215053763,0.471163245356794,0.458944281524927
0.65,0.502932551319648,0.49169110459433,0.476539589442815
0.675,0.550830889540567,0.509286412512219,0.489247311827957
0.7,0.601173020527859,0.515151515151515,0.507820136852395
0.725,0.63782991202346,0.52297165200391,0.526392961876833
0.75,0.667155425219941,0.537634408602151,0.543010752688172
0.775,0.690127077223851,0.556207233626588,0.557184750733138
0.8,0.709677419354839,0.565004887585533,0.571847507331378
0.825,0.727761485826002,0.577712609970675,0.582111436950147
0.85,0.739491691104594,0.581622678396872,0.589931573802542
0.875,0.754154447702835,0.586510263929619,0.596285434995112
0.9,0.769794721407625,0.592375366568915,0.603616813294233
0.925,0.780058651026393,0.596285434995112,0.619257086999022
0.95,0.793743890518084,0.605083088954057,0.633919843597263
0.975,0.8069403714565,0.612903225806452,0.643695014662757
1,0.813782991202346,0.627565982404692,0.655913978494624
