Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.0219331477026626,0.0295035958049994,0.038653566420166
5,0.11521729522222,0.124964483927793,0.115920632017212
7.5,0.218679559790124,0.264275882534932,0.206913341520987
10,0.315444282385922,0.433648084657688,0.29298474831674
12.5,0.390275857279058,0.563559562820829,0.374894387972859
15,0.477467025300071,0.673398935464929,0.436757340580278
17.5,0.543965740407504,0.760858447142614,0.487615737716341
20,0.601096104912899,0.826799954539428,0.521948139050755
22.5,0.658878386654796,0.876565074915235,0.562842858013884
25,0.707213393189754,0.90298271866851,0.602296898272753
27.5,0.750775039620152,0.926298625449081,0.619902967589084
30,0.795419531629825,0.941376381969832,0.649593665891453
32.5,0.818656513805492,0.959046022515611,0.6666396648288
35,0.840589661508155,0.968477512801571,0.682525455764892
37.5,0.860057204553634,0.976605168614526,0.697730974592142
40,0.873242349048801,0.981646872375757,0.708174588657486
42.5,0.883294186729301,0.983555269322322,0.722499499159459
45,0.894634073961826,0.986704361057968,0.731702770736976
47.5,0.902204522064163,0.98734049337349,0.746748020591079
50,0.907262010746374,0.988612758004533,0.763193881906156
52.5,0.911667582192084,0.988612758004533,0.777078923759004
55,0.918013120426319,0.989885022635577,0.797086414591445
57.5,0.926855833159699,0.99115728726662,0.806849756547946
60,0.936350463129582,0.991793419582142,0.81873404931755
62.5,0.942617076758914,0.992429551897663,0.829177663382895
65,0.948852120546285,0.994290594081286,0.84166209377477
67.5,0.950108600256347,0.995562858712329,0.855027132491921
70,0.952016997202912,0.99618320610687,0.866151018666109
72.5,0.95580222125408,0.996819338422392,0.873433675646955
75,0.958967097910708,0.997455470737914,0.88471783079429
77.5,0.958967097910708,0.997455470737914,0.89256055815412
80,0.960859709936292,0.997455470737914,0.898522738160565
82.5,0.963404239198379,0.997455470737914,0.905125123032568
85,0.967189463249547,0.997455470737914,0.913007917635684
87.5,0.969097860196112,0.997455470737914,0.916969348558886
90,0.971595034695256,0.997455470737914,0.919650369750973
92.5,0.974107994115381,0.997455470737914,0.926332889109549
95,0.978529350482071,0.998727735368957,0.927613298840663
97.5,0.979165482797593,0.998727735368957,0.932214934629422
100,0.981042309902197,0.999363867684478,0.934815821334936
