Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0,0.00131061598951507,0
0.05,0.00204853852709169,0.0314547837483617,0.00375365420920703
0.075,0.0113143059005193,0.123197903014417,0.0212023058612569
0.1,0.0273311457976736,0.234600262123198,0.0532188610863814
0.125,0.0540104011129482,0.374836173001311,0.104608249831101
0.15,0.0892106662393567,0.528178243774574,0.167989443044848
0.175,0.116261389874211,0.648754914809961,0.239308873019782
0.2,0.156860692096465,0.757536041939712,0.320853774806003
0.225,0.199369232225969,0.836173001310616,0.403560446776403
0.25,0.230563466454954,0.880733944954128,0.471299856672918
0.275,0.27512054511155,0.905635648754915,0.541121297646784
0.3,0.319724057308093,0.925294888597641,0.594561147626895
0.325,0.346589046783157,0.934469200524246,0.656207578024864
0.35,0.373407602718274,0.944954128440367,0.70915335997828
0.375,0.406557508394456,0.956749672346003,0.730529299970324
0.4,0.434213688971761,0.964613368283093,0.754465554145436
0.425,0.452325500935954,0.969855832241153,0.772692402401834
0.45,0.473555643769165,0.971166448230668,0.785336124107363
0.475,0.497346914992024,0.979030144167759,0.80235384741664
0.5,0.522534834259576,0.981651376146789,0.818751223331376
0.525,0.539389298798919,0.984272608125819,0.830664103195499
0.55,0.556942087360608,0.985583224115334,0.840700155955019
0.575,0.580035034561121,0.985583224115334,0.852040043187544
0.6,0.596284042158012,0.985583224115334,0.862155020551967
0.625,0.61658369326914,0.986893840104849,0.867769716944797
0.65,0.632180810383632,0.986893840104849,0.872159503469526
0.675,0.642330635939196,0.986893840104849,0.877805769704317
0.7,0.659277967558433,0.986893840104849,0.882800118702606
0.725,0.666727364104506,0.986893840104849,0.888493739700339
0.75,0.676178865637724,0.986893840104849,0.891611261594024
0.775,0.683628262183797,0.986893840104849,0.896668750276236
0.8,0.690332901167576,0.986893840104849,0.901694669116486
0.825,0.6983877546561,0.988204456094364,0.904843760852133
0.85,0.711843466163606,0.989515072083879,0.907372505193239
0.875,0.722598748661621,0.989515072083879,0.910505812007905
0.9,0.732609273597343,0.989515072083879,0.915531730848155
0.925,0.742712665612959,0.989515072083879,0.919316954899324
0.95,0.754771729075772,0.989515072083879,0.923738311266014
0.975,0.760824477577153,0.990825688073395,0.928764230106264
1,0.767482683020984,0.990825688073395,0.930656842131848
