Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0.000651890482398957,0,0
0.05,0.00135021450474533,0,0
0.075,0.0107552824980152,0.00131061598951507,0.00190839694656489
0.1,0.0289599615421034,0.00524246395806029,0.0120865139949109
0.125,0.0595969932917192,0.0249017038007864,0.0336992278016656
0.15,0.119611888442965,0.053735255570118,0.0572361234759659
0.175,0.172550676290852,0.0982961992136304,0.0877546897000234
0.2,0.235405301071431,0.159895150720839,0.135433043522184
0.225,0.302498124449171,0.250327653997379,0.181697068424475
0.25,0.365120581530012,0.346002621231979,0.22158398525057
0.275,0.432352705527594,0.445609436435125,0.265829118759431
0.3,0.483010787148653,0.555701179554391,0.323148902316595
0.325,0.544793798664171,0.647444298820446,0.384637483504758
0.35,0.583624984522153,0.698558322411533,0.446157634534882
0.375,0.612677813144152,0.758846657929227,0.496942460806041
0.4,0.656863423481168,0.845347313237221,0.555203025653654
0.425,0.681213718106531,0.882044560943643,0.597623422297148
0.45,0.702350993859847,0.90956749672346,0.654390733619987
0.475,0.719251891939138,0.933158584534731,0.712398739731909
0.5,0.735547333075976,0.938401048492792,0.759129998295229
0.525,0.748444021180978,0.952817824377457,0.79407465636227
0.55,0.765298485720321,0.960681520314548,0.820287096142797
0.575,0.776891392860525,0.965923984272608,0.846499535923323
0.6,0.789043323403233,0.967234600262123,0.870756223994343
0.625,0.800404062843699,0.968545216251638,0.890129057513938
0.65,0.808412482792276,0.968545216251638,0.906337014376906
0.675,0.819307065910134,0.971166448230668,0.918838671793609
0.7,0.824009599906769,0.973787680209699,0.925168425106864
0.725,0.831458996452842,0.975098296199214,0.930194343947114
0.75,0.838861959458967,0.975098296199214,0.933963783077302
0.775,0.845705899062589,0.979030144167759,0.938973916996572
0.8,0.851897948183811,0.980340760157274,0.942123008732218
0.825,0.860045668752231,0.981651376146789,0.943379488442281
0.85,0.86484106982876,0.982961992136304,0.945892447862406
0.875,0.869682904445238,0.982961992136304,0.949025754677072
0.9,0.875176629544114,0.984272608125819,0.950934151623637
0.925,0.878528949036003,0.985583224115334,0.953447111043762
0.95,0.880577487563095,0.986893840104849,0.955339723069346
0.975,0.887934017029273,0.986893840104849,0.957868467410452
1,0.894172499690443,0.988204456094364,0.960397211751558
