Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0.000977517106549365,0.00684261974584555,0.00244379276637341
0.05,0.0083088954056696,0.0997067448680352,0.0185728250244379
0.075,0.0356793743890518,0.24633431085044,0.0826001955034213
0.1,0.0918866080156403,0.456500488758553,0.194037145650049
0.125,0.18475073313783,0.602150537634409,0.317204301075269
0.15,0.27663734115347,0.701857282502444,0.429130009775171
0.175,0.372922776148583,0.763440860215054,0.533235581622678
0.2,0.463831867057674,0.808406647116324,0.608993157380254
0.225,0.536656891495601,0.827956989247312,0.66911045943304
0.25,0.601173020527859,0.838709677419355,0.708211143695015
0.275,0.652492668621701,0.848484848484849,0.73802541544477
0.3,0.69208211143695,0.857282502443793,0.765884652981427
0.325,0.733626588465298,0.863147605083089,0.786901270772238
0.35,0.762952101661779,0.869990224828935,0.805962854349951
0.375,0.785434995112414,0.881720430107527,0.82355816226784
0.4,0.802541544477028,0.883675464320626,0.831867057673509
0.425,0.816715542521994,0.894428152492669,0.842130987292278
0.45,0.827956989247312,0.903225806451613,0.852394916911046
0.475,0.842130987292278,0.909090909090909,0.86217008797654
0.5,0.854349951124145,0.915933528836755,0.874389051808407
0.525,0.871456500488759,0.918866080156403,0.882697947214076
0.55,0.8841642228739,0.92375366568915,0.895405669599218
0.575,0.895894428152493,0.930596285434995,0.900782013685239
0.6,0.903714565004888,0.943304007820137,0.904203323558162
0.625,0.912023460410557,0.947214076246334,0.912023460410557
0.65,0.919843597262952,0.952101661779081,0.916422287390029
0.675,0.924731182795699,0.956989247311828,0.922287390029326
0.7,0.929130009775171,0.960899315738025,0.93010752688172
0.725,0.933040078201369,0.971652003910068,0.936461388074291
0.75,0.937438905180841,0.973607038123167,0.940371456500489
0.775,0.941348973607038,0.979472140762463,0.944770283479961
0.8,0.942815249266862,0.980449657869013,0.947214076246334
0.825,0.944770283479961,0.98533724340176,0.950146627565982
0.85,0.948191593352884,0.988269794721408,0.952101661779081
0.875,0.951124144672532,0.990224828934506,0.95405669599218
0.9,0.954545454545455,0.992179863147605,0.954545454545455
0.925,0.958455522971652,0.993157380254154,0.955522971652004
0.95,0.962365591397849,0.993157380254154,0.956989247311828
0.975,0.965298142717498,0.993157380254154,0.958455522971652
1,0.969208211143695,0.993157380254154,0.961876832844575
