Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.0263929618768328,0.0229716520039101,0.0131964809384164
5,0.0992179863147605,0.0806451612903226,0.0635386119257087
7.5,0.20772238514174,0.1930596285435,0.143206256109482
10,0.326001955034213,0.310850439882698,0.238514173998045
12.5,0.429130009775171,0.424731182795699,0.336265884652981
15,0.526392961876833,0.524437927663734,0.43010752688172
17.5,0.608504398826979,0.610459433040078,0.508797653958944
20,0.670576735092864,0.685239491691105,0.572825024437928
22.5,0.709677419354839,0.747800586510264,0.640762463343108
25,0.750733137829912,0.782013685239492,0.695503421309873
27.5,0.77663734115347,0.804985337243402,0.735581622678397
30,0.797653958944281,0.826490713587488,0.775659824046921
32.5,0.816715542521994,0.83822091886608,0.808406647116324
35,0.833822091886608,0.853372434017595,0.844086021505376
37.5,0.848973607038123,0.86217008797654,0.862658846529814
40,0.860703812316716,0.86852394916911,0.889540566959922
42.5,0.869990224828935,0.875855327468231,0.904203323558162
45,0.883186705767351,0.880742913000978,0.91544477028348
47.5,0.892961876832845,0.886119257086999,0.924731182795699
50,0.901270772238514,0.891984359726295,0.933528836754643
52.5,0.910068426197459,0.894916911045943,0.940371456500489
55,0.91544477028348,0.897360703812317,0.946236559139785
57.5,0.920821114369502,0.902737047898338,0.949657869012708
60,0.924731182795699,0.905180840664712,0.953567937438905
62.5,0.933528836754643,0.910068426197458,0.956011730205279
65,0.938905180840665,0.913978494623656,0.957478005865103
67.5,0.941348973607038,0.917399804496579,0.958944281524927
70,0.946236559139785,0.920821114369501,0.962365591397849
72.5,0.952101661779081,0.926197458455523,0.962365591397849
75,0.955034213098729,0.928641251221896,0.963343108504399
77.5,0.956500488758553,0.931573802541545,0.963343108504399
80,0.958455522971652,0.936950146627566,0.965786901270772
82.5,0.9613880742913,0.940371456500489,0.967741935483871
85,0.962854349951124,0.943792766373412,0.968230694037146
87.5,0.963831867057674,0.947214076246334,0.970185728250244
90,0.964320625610948,0.951124144672532,0.971163245356794
92.5,0.964809384164223,0.958455522971652,0.973118279569892
95,0.964809384164223,0.960410557184751,0.974095796676442
97.5,0.965786901270772,0.964320625610948,0.976050830889541
100,0.966275659824047,0.968230694037146,0.97702834799609
