Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0,0,0.000555555555555556
0.05,0.000555555555555556,0.0133333333333333,0.0116666666666667
0.075,0.00111111111111111,0.0322222222222222,0.0277777777777778
0.1,0.005,0.0833333333333333,0.0638888888888889
0.125,0.0138888888888889,0.134444444444444,0.116666666666667
0.15,0.0244444444444444,0.183333333333333,0.168888888888889
0.175,0.0355555555555556,0.225555555555556,0.210555555555556
0.2,0.0516666666666667,0.256666666666667,0.251111111111111
0.225,0.0783333333333333,0.278888888888889,0.290555555555556
0.25,0.0927777777777778,0.291111111111111,0.329444444444444
0.275,0.113888888888889,0.304444444444444,0.356666666666667
0.3,0.131666666666667,0.314444444444444,0.380555555555556
0.325,0.151666666666667,0.334444444444444,0.404444444444444
0.35,0.168888888888889,0.347777777777778,0.427222222222222
0.375,0.185,0.355555555555556,0.449444444444444
0.4,0.199444444444444,0.358888888888889,0.466111111111111
0.425,0.217777777777778,0.37,0.482222222222222
0.45,0.236111111111111,0.376666666666667,0.501666666666667
0.475,0.251666666666667,0.383333333333333,0.516111111111111
0.5,0.264444444444444,0.391111111111111,0.529444444444444
0.525,0.277777777777778,0.397777777777778,0.54
0.55,0.293333333333333,0.402222222222222,0.556666666666667
0.575,0.306666666666667,0.41,0.569444444444444
0.6,0.319444444444444,0.417777777777778,0.579444444444444
0.625,0.335,0.421111111111111,0.591111111111111
0.65,0.351111111111111,0.426666666666667,0.6
0.675,0.368888888888889,0.43,0.608888888888889
0.7,0.381666666666667,0.438888888888889,0.615555555555556
0.725,0.400555555555556,0.447777777777778,0.620555555555556
0.75,0.410555555555556,0.454444444444444,0.627222222222222
0.775,0.418888888888889,0.46,0.634444444444444
0.8,0.435,0.473333333333333,0.641666666666667
0.825,0.445555555555556,0.481111111111111,0.647222222222222
0.85,0.46,0.491111111111111,0.652777777777778
0.875,0.468333333333333,0.504444444444444,0.656111111111111
0.9,0.480555555555556,0.514444444444444,0.665555555555556
0.925,0.493333333333333,0.528888888888889,0.672222222222222
0.95,0.500555555555556,0.546666666666667,0.68
0.975,0.509444444444444,0.553333333333333,0.684444444444444
1,0.518888888888889,0.573333333333333,0.690555555555556
