Threshold,Elbows,Shoulders,Wrists
0,0,0,0
0.025,0.0411111111111111,0.0688888888888889,0.00722222222222222
0.05,0.113333333333333,0.203888888888889,0.0261111111111111
0.075,0.205,0.326666666666667,0.0527777777777778
0.1,0.293888888888889,0.413888888888889,0.0983333333333333
0.125,0.365555555555556,0.465555555555556,0.148333333333333
0.15,0.422222222222222,0.504444444444444,0.186666666666667
0.175,0.457222222222222,0.542222222222222,0.222222222222222
0.2,0.485555555555556,0.579444444444444,0.262777777777778
0.225,0.518333333333333,0.597222222222222,0.288333333333333
0.25,0.545555555555556,0.618333333333333,0.323888888888889
0.275,0.563333333333333,0.638888888888889,0.357777777777778
0.3,0.581666666666667,0.655555555555556,0.396666666666667
0.325,0.595,0.677777777777778,0.432222222222222
0.35,0.616111111111111,0.694444444444444,0.468888888888889
0.375,0.631111111111111,0.71,0.493333333333333
0.4,0.643888888888889,0.724444444444444,0.520555555555556
0.425,0.660555555555556,0.746666666666667,0.546111111111111
0.45,0.672777777777778,0.78,0.567222222222222
0.475,0.68,0.808333333333333,0.59
0.5,0.690555555555556,0.836666666666667,0.61
0.525,0.704444444444444,0.865,0.628333333333333
0.55,0.716111111111111,0.885555555555556,0.645555555555556
0.575,0.725,0.903333333333333,0.662777777777778
0.6,0.740555555555556,0.922777777777778,0.678333333333333
0.625,0.746666666666667,0.931666666666667,0.692777777777778
0.65,0.755555555555556,0.940555555555556,0.702777777777778
0.675,0.767777777777778,0.945555555555556,0.716111111111111
0.7,0.775,0.953333333333333,0.729444444444444
0.725,0.783333333333333,0.956111111111111,0.746666666666667
0.75,0.791666666666667,0.961666666666667,0.757777777777778
0.775,0.801666666666667,0.966111111111111,0.774444444444444
0.8,0.812777777777778,0.97,0.785
0.825,0.825,0.975,0.796666666666667
0.85,0.834444444444444,0.977777777777778,0.805555555555556
0.875,0.843333333333333,0.980555555555556,0.817777777777778
0.9,0.851111111111111,0.981111111111111,0.827777777777778
0.925,0.863333333333333,0.982777777777778,0.834444444444444
0.95,0.869444444444444,0.984444444444444,0.841111111111111
0.975,0.880555555555556,0.985,0.850555555555556
1,0.886666666666667,0.987222222222222,0.858333333333333
