Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0,0,0
0.05,0.000651890482398957,0,0
0.075,0.00670463898377922,0.00262123197903014,0.00190839694656489
0.1,0.0283080710597044,0.00786369593709043,0.0114503816793893
0.125,0.0717489238344271,0.0222804718217562,0.0317908308551007
0.15,0.133160467030366,0.0524246395806029,0.0578722557914875
0.175,0.187495902922946,0.0943643512450852,0.0877704746210041
0.2,0.253563546575572,0.157273918741809,0.132283951786537
0.225,0.323915822365306,0.247706422018349,0.184877730002084
0.25,0.387749193331051,0.339449541284404,0.220374860303449
0.275,0.458147902660733,0.44954128440367,0.262154389155128
0.3,0.509365007684296,0.55045871559633,0.316325080976645
0.325,0.571287319819656,0.639580602883355,0.378544504006213
0.35,0.614354883351664,0.692005242463958,0.437567480537192
0.375,0.648249546590139,0.752293577981651,0.489545646834492
0.4,0.685869818563219,0.841415465268676,0.55152829604935
0.425,0.706774926616798,0.887287024901704,0.60268091097936
0.45,0.729169549794964,0.90694626474443,0.659416652460238
0.475,0.746583037736811,0.939711664482307,0.720542180465845
0.5,0.76287847887365,0.947575360419397,0.769134481212787
0.525,0.77852202952809,0.959370904325033,0.799100575202521
0.55,0.789277312026105,0.964613368283093,0.825886007614646
0.575,0.804315405738093,0.969855832241153,0.853323357263274
0.6,0.815256422395898,0.969855832241153,0.877580045334293
0.625,0.82461505684922,0.971166448230668,0.900117755510516
0.65,0.831319695833,0.971166448230668,0.915721149899924
0.675,0.840817630906164,0.972477064220184,0.930083849500249
0.7,0.849011785014531,0.973787680209699,0.935745900656021
0.725,0.855762857538258,0.973787680209699,0.940771819496272
0.75,0.865912683093821,0.973787680209699,0.942012514285353
0.775,0.87280305623739,0.979030144167759,0.944509688784498
0.8,0.87759845731392,0.981651376146789,0.950155955019289
0.825,0.886490935444633,0.982961992136304,0.950155955019289
0.85,0.893334875048254,0.982961992136304,0.952684699360395
0.875,0.896826495159986,0.985583224115334,0.954577311385979
0.9,0.901575462696569,0.986893840104849,0.957121840648066
0.925,0.904974215728406,0.988204456094364,0.957757972963587
0.95,0.907022754255497,0.989515072083879,0.959650584989172
0.975,0.915729498226421,0.989515072083879,0.960907064699234
1,0.917778036753513,0.99213630406291,0.962799676724818
