Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.0400968562751375,0.00698167054975723,0.0490980515125384
5,0.154105026550237,0.0336518730387236,0.184266638793802
7.5,0.29530903718296,0.06916478826107,0.349246126107293
10,0.436292058921953,0.145884239703496,0.476531047758412
12.5,0.543697396750832,0.234453431326123,0.595213706481312
15,0.634689573743994,0.315788393663301,0.678683355544523
17.5,0.707691676295468,0.379516855138623,0.731501563493515
20,0.765410818353443,0.454537849083528,0.76763437769474
22.5,0.803804481654765,0.521862115558249,0.807288754170042
25,0.845983369007255,0.586993856508754,0.839780675394358
27.5,0.862396529842972,0.647846305381395,0.860948374228052
30,0.878809690678688,0.699204124284154,0.879555253599519
32.5,0.900869117749197,0.745998522531396,0.894921041399915
35,0.913497054533745,0.797056427935522,0.905524924438405
37.5,0.923007469424608,0.836853370712026,0.912727446932678
40,0.930625272289887,0.866803679780779,0.91872969418241
42.5,0.9369076708402,0.883584629275346,0.924091736566586
45,0.941949374601431,0.910275352161587,0.930814323168448
47.5,0.948263342993705,0.920837042789764,0.934135549226093
50,0.953972748912419,0.93701342981077,0.937416708040451
52.5,0.956485708332544,0.943837251150721,0.941338071720365
55,0.959030237594631,0.945714078255324,0.946700114104541
57.5,0.963483163803282,0.949451947543551,0.950701612271029
60,0.965375775828866,0.952553684516255,0.95334256621983
62.5,0.96726838785445,0.956896116278042,0.956023587411917
65,0.968540652485494,0.963099590223451,0.958024336495161
67.5,0.969176784801015,0.966821674590697,0.960665290443963
70,0.970417479590097,0.970543758957943,0.965347060719294
72.5,0.971053611905619,0.974265843325188,0.967307742559252
75,0.972325876536662,0.97550653811427,0.968588152290366
77.5,0.973598141167705,0.97550653811427,0.969228357155923
80,0.974234273483227,0.97550653811427,0.971269173482453
82.5,0.974234273483227,0.97550653811427,0.97262971770014
85,0.974870405798749,0.97550653811427,0.977351555218758
87.5,0.976142670429792,0.97550653811427,0.977991760084315
90,0.976142670429792,0.97550653811427,0.977991760084315
92.5,0.976778802745313,0.97550653811427,0.977991760084315
95,0.9793233320074,0.97550653811427,0.978672032193159
97.5,0.9793233320074,0.976142670429792,0.978672032193159
100,0.9793233320074,0.976142670429792,0.979952441924273
