Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.0232054123337059,0.0203404491757114,0.0340919978746941
5,0.108204054830502,0.0679872331559108,0.123083087268198
7.5,0.223563414341548,0.128356663446543,0.226639490623394
10,0.326500041040795,0.191733121183995,0.315430243800465
12.5,0.424458103662733,0.26722766275832,0.377091989164424
15,0.499242323792927,0.324148087814672,0.426109035163361
17.5,0.556356903377342,0.381531011055759,0.470365047427422
20,0.605359612069782,0.439329077718637,0.513940787582639
22.5,0.641177176267056,0.490844745831202,0.548633794106631
25,0.660660504233516,0.536540513578189,0.570881566455007
27.5,0.679460345121512,0.58211000195733,0.585527014903272
30,0.694490746879321,0.619488694839594,0.608535193847065
32.5,0.709552718479091,0.670530815322739,0.619739214507826
35,0.724662044841804,0.706589888811017,0.629502556464327
37.5,0.738578031178376,0.731403784592654,0.642747393451619
40,0.749281786095379,0.755008555427171,0.655311958330067
42.5,0.759428333301764,0.778008763788128,0.6639551595286
45,0.770179442981708,0.799163714886443,0.674759378783524
47.5,0.779022155715088,0.812842927408305,0.690645169719616
50,0.786592603817425,0.825344584825008,0.698648166052593
52.5,0.792286224815159,0.834665580664103,0.706771364115429
55,0.800540159995959,0.852797719394617,0.719335928993877
57.5,0.806885698230195,0.868432683625986,0.728659402301253
60,0.810702492123324,0.878405596701583,0.740623829557431
62.5,0.814519286016454,0.887758162382639,0.751267779839208
65,0.817063815278541,0.892784081222889,0.757870164711211
67.5,0.825906528011921,0.897794215142159,0.763232207095386
70,0.829723321905051,0.903456266297931,0.771115001698503
72.5,0.83354011579818,0.906605358033578,0.779758202897036
75,0.838534464796469,0.910422151926708,0.784959976308065
77.5,0.842351258689599,0.9172933280296,0.790882089071224
80,0.845516135346226,0.924800636448014,0.795443657616696
82.5,0.846772615056289,0.928601645420163,0.802166244218558
85,0.848649442160893,0.931734952234829,0.805487470276203
87.5,0.85181431881752,0.935488606444036,0.810809445417091
90,0.854931840711205,0.936745086154099,0.818812441750068
92.5,0.85803357768391,0.940498740363306,0.8261351659742
95,0.86364827407674,0.947942909097797,0.830096596897402
97.5,0.866797365812387,0.951044646070502,0.834058027820603
100,0.872443632047178,0.954782515358728,0.838739798095935
