Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0,0.00140449438202247,0
0.05,0.00264435003583299,0.0210674157303371,0.00406423342203159
0.075,0.00659931606118105,0.098314606741573,0.0188185922130876
0.1,0.0300205750705545,0.212078651685393,0.0482611170684565
0.125,0.0541664962450941,0.316011235955056,0.115665170711042
0.15,0.0877179099142676,0.412921348314607,0.187457802136701
0.175,0.127028387195442,0.507022471910112,0.263116088804162
0.2,0.173053770821811,0.596910112359551,0.330712101354303
0.225,0.22439097257665,0.662921348314607,0.38329560347909
0.25,0.277902160826986,0.699438202247191,0.436931569959093
0.275,0.32682619311402,0.730337078651685,0.4827567946834
0.3,0.369012200999056,0.758426966292135,0.5189443583939
0.325,0.400389628172731,0.779494382022472,0.556118193732873
0.35,0.429939839702951,0.801966292134832,0.589552140010856
0.375,0.452705790717567,0.810393258426966,0.612170194739002
0.4,0.476782357721698,0.825842696629214,0.63603267272992
0.425,0.497466794468027,0.837078651685393,0.658518342004581
0.45,0.510218181106857,0.851123595505618,0.678640930934509
0.475,0.522969567745687,0.86376404494382,0.703946410368429
0.5,0.543561532264805,0.86938202247191,0.724989078200087
0.525,0.552920788645833,0.872191011235955,0.738624779909184
0.55,0.565625939171058,0.875,0.761507605544303
0.575,0.572225255232239,0.88061797752809,0.769245535300581
0.6,0.580767377220889,0.887640449438202,0.783735123184665
0.625,0.587320457168465,0.889044943820225,0.792651283476972
0.65,0.599185355244509,0.893258426966292,0.800124442326277
0.675,0.613717721413189,0.896067415730337,0.809040602618584
0.7,0.626962589649157,0.907303370786517,0.815858453473132
0.725,0.635643419978625,0.910112359550562,0.818022955637635
0.75,0.64235832632382,0.911516853932584,0.821431881064909
0.775,0.648371688560652,0.912921348314607,0.826217615208441
0.8,0.653706624745924,0.915730337078652,0.83113573480546
0.825,0.662387455075392,0.918539325842697,0.832512543521718
0.85,0.66439961517327,0.921348314606742,0.835855276222249
0.875,0.670998931234451,0.931179775280899,0.839853316917537
0.9,0.673620163213481,0.938202247191011,0.84254074162331
0.925,0.677621365352435,0.939606741573034,0.845228166329084
0.95,0.67961040739351,0.943820224719101,0.849424785204602
0.975,0.685577533516737,0.946629213483146,0.852966096085362
1,0.691498423526357,0.956460674157303,0.85434290480162
