Threshold,Elbows,Shoulders,Wrists
0,0,0,0
2.5,0.0325364167424161,0.0255718168160564,0.027053776068797
5,0.116150756028189,0.117573977481812,0.109408444301328
7.5,0.220810404876634,0.239370537296805,0.223159320364442
10,0.329364226068881,0.376436083118111,0.338834378295102
12.5,0.437905829611023,0.491352272919093,0.431177744524211
15,0.525381760840314,0.591880623217029,0.506182953548135
17.5,0.587310585697856,0.652770041018889,0.549570965847745
20,0.647967145924355,0.708196181698486,0.580982958599309
22.5,0.682452685113689,0.740112422140072,0.604856073090498
25,0.698392645952048,0.775190324268665,0.616768952954622
27.5,0.720702075045694,0.796380884860147,0.628634478055803
30,0.733449156656339,0.808706807785149,0.638034398499801
32.5,0.755122453434463,0.81899191438362,0.650551840837485
35,0.7723387514539,0.826735706689624,0.657438801861358
37.5,0.790827314104381,0.832618456812005,0.665566457674313
40,0.806775420042811,0.835219695818774,0.67493480827635
42.5,0.816990190041475,0.838441282220084,0.680628429274083
45,0.826548464974441,0.84098259651255,0.68880343984998
47.5,0.836763234973105,0.844884455022704,0.691952531585627
50,0.845705740340726,0.848106041424014,0.693860928532192
52.5,0.84889861956844,0.850027008321939,0.698902632293423
55,0.855276232923798,0.853428368866157,0.703912766212692
57.5,0.86484672550687,0.864333822859168,0.710815512157546
60,0.872500676043306,0.876159247818234,0.719006307654424
62.5,0.878878289398664,0.878200064144765,0.727801665624862
65,0.883351578357492,0.885764082307861,0.732207237070571
67.5,0.888456927081806,0.889845714960922,0.739730330409966
70,0.892930216040634,0.894928343545855,0.749813737932428
72.5,0.894842685537234,0.897529582552624,0.754823871851698
75,0.894842685537234,0.902111713171621,0.75608035156176
77.5,0.896119022718313,0.903472257389308,0.759229443297407
80,0.896119022718313,0.908794584831451,0.763603444901155
82.5,0.89675922758387,0.910775476443679,0.766768321557782
85,0.89675922758387,0.911455748552523,0.768024801267845
87.5,0.898031492214913,0.91281629277021,0.772446157634535
90,0.899948034261549,0.914116912273594,0.774322984739138
92.5,0.900584166577071,0.917958846069445,0.776851729080244
95,0.901860503758149,0.91925946557283,0.776851729080244
97.5,0.903777045804785,0.923901520906129,0.778108208790307
100,0.904417250670342,0.92774345470198,0.783165697472518
